Crop type,Season,Year,State,District,Annual rainfall (mm),Cultivated area (hectares),Total production (tonnes),Pesticide and fertilizer used (kg/hectare),Yield (tonnes/hectare)
Castor,Rabi,2009-2010,Odisha,Cuttack,1394.06,20001,30401.52,239.73,1.52
Sesamum (Til),Kharif,2016-2017,Odisha,Bargarh,1540.5,27363,47885.25,228.72,1.75
Mustard,Kharif,2006-2007,Odisha,Nayagarh,1526.13,21445,34097.55,214.7,1.59
Coriander,Kharif,2017-2018,Odisha,Balasore,1453.71,3795,6868.95,120.33,1.81
Sugarcane,Rabi,2024-2025,Odisha,Dhenkanal,1540.34,7512,608697.36,190.94,81.03
Guava,Kharif,2005-2006,Odisha,Angul,1613.49,3603,5944.95,209.41,1.65
Oil Palm,Rabi,2022-2023,Odisha,Gajapati,1465.54,24528,38999.52,167.54,1.59
Sweet Potato,Kharif,2002-2003,Odisha,Nabarangpur,1404.02,12636,19585.8,232.78,1.55
Bajra (Pearl Millet),Kharif,2012-2013,Odisha,Nayagarh,1301.34,34477,59989.98,110.7,1.74
Cabbage,Kharif,2005-2006,Odisha,Malkangiri,1473.09,25200,39564.0,121.68,1.57
Cashew,Kharif,2007-2008,Odisha,Jagatsinghapur,1491.55,21519,31848.12,141.62,1.48
Cotton,Rabi,2003-2004,Odisha,Cuttack,1283.37,52535,22064.7,226.48,0.42
Wheat,Kharif,2016-2017,Odisha,Rayagada,1359.3,2426,5361.46,137.92,2.21
Chilli,Kharif,2013-2014,Odisha,Cuttack,1170.48,9988,17678.76,106.66,1.77
Cashew,Rabi,2016-2017,Odisha,Kandhamal,1223.56,4061,6700.65,181.25,1.65
Jowar (Sorghum),Rabi,2024-2025,Odisha,Jharsuguda,1359.0,17770,31986.0,218.06,1.8
Groundnut,Rabi,2014-2015,Odisha,Kendrapara,1433.56,19911,34047.81,220.31,1.71
Arhar (Pigeon Pea),Kharif,2019-2020,Odisha,Bargarh,1578.72,24245,39519.35,126.12,1.63
Potato,Kharif,2017-2018,Odisha,Kalahandi,1553.87,19118,428434.38,162.11,22.41
Litchi,Kharif,2002-2003,Odisha,Jagatsinghapur,1578.57,13738,19782.72,248.55,1.44
Mustard,Rabi,2018-2019,Odisha,Jajpur,1804.55,19599,33514.29,168.54,1.71
Tomato,Rabi,2010-2011,Odisha,Jagatsinghapur,1469.92,20032,29246.72,246.25,1.46
Oranges & Limes,Rabi,2008-2009,Odisha,Gajapati,1376.32,27209,40269.32,94.67,1.48
Banana,Rabi,2017-2018,Odisha,Subarnapur,1464.33,33486,1006924.02,151.99,30.07
Tomato,Kharif,2015-2016,Odisha,Deogarh,1138.92,500,775.0,244.81,1.55
Jowar (Sorghum),Rabi,2017-2018,Odisha,Sundargarh,1396.1,28764,41995.44,173.57,1.46
Cabbage,Rabi,2009-2010,Odisha,Dhenkanal,1475.94,20486,32367.88,103.89,1.58
Exotic Vegetables,Rabi,2006-2007,Odisha,Cuttack,1500.81,20455,30887.05,133.18,1.51
Tobacco,Kharif,2024-2025,Odisha,Mayurbhanj,1716.69,26251,42789.13,123.5,1.63
Cashew,Rabi,2018-2019,Odisha,Kalahandi,1207.89,30814,52691.94,174.72,1.71
Pumpkin,Rabi,2024-2025,Odisha,Koraput,1572.57,14316,23621.4,249.14,1.65
Coriander,Rabi,2004-2005,Odisha,Kandhamal,1313.24,21862,31044.04,140.3,1.42
Mesta,Kharif,2016-2017,Odisha,Malkangiri,1598.92,35795,58345.85,212.16,1.63
Cashew,Rabi,2002-2003,Odisha,Rayagada,1360.75,10344,15826.32,92.87,1.53
Ginger,Kharif,2013-2014,Odisha,Nabarangpur,1707.68,26818,47467.86,89.81,1.77
Arhar (Pigeon Pea),Rabi,2001-2002,Odisha,Koraput,1256.2,17262,26756.1,163.02,1.55
Tea,Rabi,2006-2007,Odisha,Sambalpur,1410.08,20067,29297.82,121.75,1.46
Small Millets,Rabi,2020-2021,Odisha,Malkangiri,1265.33,9616,15577.92,198.54,1.62
Turmeric,Kharif,2014-2015,Odisha,Mayurbhanj,1163.3,11160,17298.0,98.48,1.55
Field Pea,Kharif,2005-2006,Odisha,Jharsuguda,1299.8,22026,33479.52,230.72,1.52
Coriander,Rabi,2008-2009,Odisha,Keonjhar,1530.98,27237,44123.94,237.57,1.62
Cowpea,Rabi,2019-2020,Odisha,Jagatsinghapur,1648.8,500,875.0,96.26,1.75
Exotic Vegetables,Rabi,2020-2021,Odisha,Kandhamal,1493.53,16261,30082.85,208.13,1.85
Sunflower,Kharif,2003-2004,Odisha,Puri,1482.13,18484,25323.08,112.36,1.37
Garlic,Kharif,2021-2022,Odisha,Keonjhar,1350.54,24010,37695.7,171.29,1.57
Castor,Kharif,2010-2011,Odisha,Angul,1203.6,12640,21361.6,150.17,1.69
Pineapple,Rabi,2008-2009,Odisha,Gajapati,1457.53,2928,3952.8,121.17,1.35
Potato,Kharif,2004-2005,Odisha,Dhenkanal,1141.3,16651,358496.03,217.71,21.53
Black Pepper,Kharif,2012-2013,Odisha,Cuttack,1417.14,25158,40252.8,156.75,1.6
Cauliflower,Kharif,2010-2011,Odisha,Balasore,1631.92,9700,16684.0,171.58,1.72
Sugarcane,Rabi,2012-2013,Odisha,Subarnapur,1431.94,7382,591298.2,145.73,80.1
Okra (Bhendi),Rabi,2000-2001,Odisha,Khordha,1421.82,24884,35584.12,231.05,1.43
Cabbage,Rabi,2000-2001,Odisha,Ganjam,1627.84,17924,26348.28,110.47,1.47
Chilli,Rabi,2015-2016,Odisha,Khordha,1486.54,23272,40958.72,162.58,1.76
Cotton,Kharif,2004-2005,Odisha,Dhenkanal,1307.15,78570,34570.8,204.62,0.44
Sesamum (Til),Kharif,2017-2018,Odisha,Jajpur,1362.19,18509,33686.38,147.47,1.82
Tomato,Kharif,2023-2024,Odisha,Jharsuguda,1412.2,17887,27724.85,124.46,1.55
Mesta,Rabi,2022-2023,Odisha,Nuapada,1508.29,30071,50519.28,224.08,1.68
Wheat,Rabi,2001-2002,Odisha,Khordha,1369.13,26235,52207.65,93.13,1.99
Exotic Vegetables,Kharif,2017-2018,Odisha,Balangir,1420.87,23132,38167.8,88.62,1.65
Jackfruit,Rabi,2015-2016,Odisha,Kalahandi,1546.42,16594,25554.76,189.31,1.54
Black Pepper,Rabi,2024-2025,Odisha,Puri,1697.53,29457,55084.59,122.8,1.87
Black Pepper,Rabi,2006-2007,Odisha,Malkangiri,1353.74,28397,42027.56,173.82,1.48
Cotton,Rabi,2018-2019,Odisha,Angul,1291.95,52961,25421.28,116.98,0.48
Cauliflower,Rabi,2009-2010,Odisha,Nabarangpur,1341.35,10542,16867.2,227.65,1.6
Tomato,Rabi,2014-2015,Odisha,Nayagarh,1469.32,34261,59614.14,107.57,1.74
Mango,Kharif,2023-2024,Odisha,Jagatsinghapur,1460.51,11189,17678.62,132.57,1.58
Tobacco,Kharif,2016-2017,Odisha,Keonjhar,1384.04,28682,49906.68,146.37,1.74
Brinjal (Eggplant),Kharif,2007-2008,Odisha,Dhenkanal,1500.59,1205,2012.35,124.66,1.67
Cardamom,Kharif,2024-2025,Odisha,Cuttack,1577.8,17005,27378.05,138.35,1.61
Biri (Black Gram),Kharif,2003-2004,Odisha,Jajpur,1393.42,34388,47111.56,134.19,1.37
Field Pea,Kharif,2006-2007,Odisha,Bargarh,1334.18,18626,32595.5,187.43,1.75
Cotton,Rabi,2023-2024,Odisha,Ganjam,1538.83,50801,38608.76,198.42,0.76
Garlic,Rabi,2018-2019,Odisha,Cuttack,1472.99,22920,35296.8,198.2,1.54
Tomato,Rabi,2007-2008,Odisha,Kandhamal,1362.7,19037,25890.32,108.12,1.36
Mesta,Rabi,2003-2004,Odisha,Jajpur,1458.06,18895,26075.1,238.71,1.38
Cabbage,Kharif,2004-2005,Odisha,Malkangiri,1400.71,25774,37114.56,102.03,1.44
Biri (Black Gram),Kharif,2016-2017,Odisha,Kendrapara,1479.14,21162,33224.34,233.77,1.57
Exotic Vegetables,Rabi,2004-2005,Odisha,Nayagarh,1373.78,29911,46661.16,141.47,1.56
Litchi,Rabi,2010-2011,Odisha,Kandhamal,1257.58,23366,37151.94,87.29,1.59
Cashew,Kharif,2016-2017,Odisha,Mayurbhanj,1332.54,9934,15993.74,171.04,1.61
Cowpea,Kharif,2013-2014,Odisha,Nuapada,1304.26,33831,58189.32,183.44,1.72
Field Pea,Rabi,2012-2013,Odisha,Kandhamal,1646.63,29651,46255.56,215.48,1.56
Onion,Kharif,2015-2016,Odisha,Kendrapara,1534.46,24561,39543.21,174.61,1.61
Coriander,Rabi,2023-2024,Odisha,Kandhamal,1518.95,18742,33548.18,129.42,1.79
Lentil,Kharif,2011-2012,Odisha,Puri,1337.49,10942,17397.78,141.68,1.59
Jute,Kharif,2001-2002,Odisha,Khordha,1552.7,5364,13410.0,243.58,2.5
Rubber,Kharif,2010-2011,Odisha,Jajpur,1499.91,29803,48280.86,152.49,1.62
Linseed,Rabi,2008-2009,Odisha,Keonjhar,1248.88,45172,69113.16,240.79,1.53
Sweet Potato,Kharif,2017-2018,Odisha,Boudh,1725.87,20375,37897.5,247.13,1.86
Sugarcane,Rabi,2005-2006,Odisha,Balasore,1634.53,10127,825654.31,246.34,81.53
Gram (Chickpea),Kharif,2021-2022,Odisha,Kandhamal,1387.05,8312,13797.92,118.17,1.66
Litchi,Kharif,2009-2010,Odisha,Kalahandi,1141.01,500,745.0,149.89,1.49
Rubber,Kharif,2008-2009,Odisha,Koraput,1634.36,15280,23072.8,226.05,1.51
Mustard,Kharif,2008-2009,Odisha,Gajapati,1357.82,23641,33333.81,136.49,1.41
Black Pepper,Rabi,2019-2020,Odisha,Malkangiri,1644.35,27865,45698.6,144.53,1.64
Sweet Potato,Rabi,2022-2023,Odisha,Sambalpur,1305.16,29017,50489.58,153.28,1.74
Small Millets,Kharif,2009-2010,Odisha,Gajapati,1587.01,25174,42040.58,220.14,1.67
Coconut,Kharif,2004-2005,Odisha,Rayagada,1214.03,18400,28888.0,160.61,1.57
Brinjal (Eggplant),Kharif,2017-2018,Odisha,Deogarh,1314.58,18032,28129.92,135.54,1.56
Onion,Kharif,2010-2011,Odisha,Keonjhar,1542.55,24970,39452.6,208.61,1.58
Field Pea,Kharif,2009-2010,Odisha,Jharsuguda,1449.08,21007,37182.39,96.53,1.77
Coffee,Kharif,2014-2015,Odisha,Subarnapur,1688.15,16282,24748.64,141.96,1.52
Garlic,Kharif,2015-2016,Odisha,Deogarh,1469.77,15435,27319.95,150.88,1.77
Chilli,Rabi,2000-2001,Odisha,Malkangiri,1530.47,14842,21669.32,102.01,1.46
Linseed,Rabi,2000-2001,Odisha,Nabarangpur,1534.56,13998,18617.34,229.01,1.33
Niger,Rabi,2017-2018,Odisha,Sambalpur,1330.03,29604,49438.68,193.48,1.67
Litchi,Kharif,2011-2012,Odisha,Dhenkanal,1514.62,6755,10064.95,112.93,1.49
Rubber,Rabi,2002-2003,Odisha,Jajpur,1533.3,21711,29961.18,88.57,1.38
Black Pepper,Kharif,2017-2018,Odisha,Rayagada,1892.91,38506,67000.44,144.24,1.74
Gourds,Rabi,2023-2024,Odisha,Mayurbhanj,1343.59,16783,29034.59,105.83,1.73
Cauliflower,Kharif,2017-2018,Odisha,Gajapati,1474.2,5094,9118.26,207.22,1.79
Mung (Green Gram),Rabi,2005-2006,Odisha,Gajapati,1417.18,17434,24581.94,108.71,1.41
Sesamum (Til),Kharif,2002-2003,Odisha,Kalahandi,1390.69,36241,61247.29,248.45,1.69
Black Pepper,Kharif,2023-2024,Odisha,Bargarh,1242.79,18689,35135.32,144.58,1.88
Tea,Rabi,2008-2009,Odisha,Jagatsinghapur,1338.45,22421,34079.92,87.48,1.52
Gourds,Rabi,2002-2003,Odisha,Bhadrak,1502.8,26214,42204.54,245.84,1.61
Turmeric,Rabi,2004-2005,Odisha,Kandhamal,1574.74,31952,48567.04,223.71,1.52
Wheat,Kharif,2005-2006,Odisha,Rayagada,1673.04,25128,55532.88,198.75,2.21
Cauliflower,Rabi,2014-2015,Odisha,Boudh,1679.55,19124,33849.48,93.98,1.77
Oranges & Limes,Kharif,2002-2003,Odisha,Kalahandi,1435.32,20983,29166.37,237.28,1.39
Maize,Kharif,2020-2021,Odisha,Jagatsinghapur,1692.21,29663,95218.23,171.43,3.21
Coconut,Rabi,2001-2002,Odisha,Gajapati,1262.31,14184,20992.32,104.63,1.48
Mung (Green Gram),Kharif,2009-2010,Odisha,Nayagarh,1402.83,12443,19908.8,162.77,1.6
Mesta,Rabi,2019-2020,Odisha,Rayagada,1474.35,17248,29149.12,96.34,1.69
Papaya,Kharif,2023-2024,Odisha,Cuttack,1263.1,9765,338454.9,118.02,34.66
Biri (Black Gram),Kharif,2013-2014,Odisha,Balangir,1422.57,9475,16391.75,205.87,1.73
Brinjal (Eggplant),Kharif,2012-2013,Odisha,Kendrapara,1247.39,19796,30881.76,87.03,1.56
Tea,Rabi,2009-2010,Odisha,Mayurbhanj,1249.52,17975,27142.25,237.15,1.51
Bajra (Pearl Millet),Kharif,2008-2009,Odisha,Subarnapur,1744.14,39073,62907.53,126.03,1.61
Garlic,Rabi,2020-2021,Odisha,Nuapada,1478.93,26706,41661.36,208.67,1.56
Potato,Kharif,2003-2004,Odisha,Angul,1314.55,14330,310961.0,233.38,21.7
Castor,Kharif,2008-2009,Odisha,Koraput,1164.76,500,735.0,220.33,1.47
Black Pepper,Kharif,2017-2018,Odisha,Nayagarh,1166.16,25128,39702.24,189.69,1.58
Cashew,Kharif,2000-2001,Odisha,Sambalpur,1396.96,24302,34751.86,107.79,1.43
Sapota,Rabi,2008-2009,Odisha,Koraput,1356.21,15145,22717.5,147.13,1.5
Black Pepper,Kharif,2000-2001,Odisha,Bhadrak,1636.67,17408,28897.28,243.8,1.66
Potato,Rabi,2004-2005,Odisha,Subarnapur,1504.51,25121,555676.52,181.18,22.12
Guava,Rabi,2006-2007,Odisha,Jajpur,1832.13,18544,29670.4,149.01,1.6
Wheat,Kharif,2021-2022,Odisha,Malkangiri,1658.77,17743,42938.06,126.35,2.42
Ragi (Finger Millet),Rabi,2019-2020,Odisha,Ganjam,1349.27,22085,39311.3,169.7,1.78
Jowar (Sorghum),Kharif,2016-2017,Odisha,Bhadrak,1516.69,20339,34576.3,209.47,1.7
Coffee,Kharif,2016-2017,Odisha,Nabarangpur,1206.24,23292,35636.76,242.9,1.53
Brinjal (Eggplant),Rabi,2021-2022,Odisha,Khordha,1341.27,14339,24663.08,217.24,1.72
Cashew,Kharif,2024-2025,Odisha,Deogarh,1347.08,22404,34950.24,152.74,1.56
Pineapple,Rabi,2020-2021,Odisha,Bargarh,1583.69,17404,26454.08,101.03,1.52
Small Millets,Rabi,2019-2020,Odisha,Ganjam,1353.2,13365,21517.65,139.76,1.61
Sapota,Kharif,2019-2020,Odisha,Puri,1577.46,21919,32878.5,90.76,1.5
Jackfruit,Kharif,2016-2017,Odisha,Subarnapur,1358.3,14897,26665.63,229.26,1.79
Sugarcane,Rabi,2010-2011,Odisha,Gajapati,1401.94,10292,820272.4,192.34,79.7
Arhar (Pigeon Pea),Kharif,2005-2006,Odisha,Keonjhar,1666.96,33346,51019.38,221.26,1.53
Cabbage,Rabi,2011-2012,Odisha,Deogarh,1456.17,25054,41589.64,92.94,1.66
Jackfruit,Rabi,2021-2022,Odisha,Keonjhar,1570.66,38762,65507.78,126.94,1.69
Tobacco,Kharif,2013-2014,Odisha,Nabarangpur,1577.97,24389,42680.75,146.67,1.75
Coriander,Rabi,2001-2002,Odisha,Sundargarh,1579.91,18587,26393.54,242.79,1.42
Sesamum (Til),Rabi,2021-2022,Odisha,Bhadrak,1528.16,13948,25803.8,149.1,1.85
Banana,Rabi,2020-2021,Odisha,Khordha,1680.33,28053,865996.11,251.7,30.87
Cashew,Kharif,2009-2010,Odisha,Cuttack,1540.05,29222,55229.58,198.09,1.89
Bajra (Pearl Millet),Kharif,2014-2015,Odisha,Sundargarh,1400.89,10888,17529.68,255.17,1.61
Garlic,Rabi,2023-2024,Odisha,Khordha,1426.29,6200,10664.0,153.48,1.72
Sweet Potato,Kharif,2009-2010,Odisha,Nuapada,1340.85,12909,22074.39,117.42,1.71
Garlic,Rabi,2006-2007,Odisha,Kandhamal,1256.16,17178,26110.56,118.44,1.52
Guava,Kharif,2013-2014,Odisha,Angul,1399.96,14019,21869.64,87.48,1.56
Gram (Chickpea),Kharif,2023-2024,Odisha,Bhadrak,1193.09,13911,23370.48,200.73,1.68
Gourds,Rabi,2015-2016,Odisha,Bhadrak,1329.0,23241,40439.34,255.45,1.74
Niger,Kharif,2022-2023,Odisha,Jajpur,1362.37,6675,10479.75,149.84,1.57
Oranges & Limes,Kharif,2002-2003,Odisha,Koraput,1553.26,29549,46391.93,199.23,1.57
Gourds,Rabi,2010-2011,Odisha,Rayagada,1463.01,30968,51097.2,168.03,1.65
Gram (Chickpea),Rabi,2014-2015,Odisha,Nabarangpur,1560.86,4053,6079.5,204.07,1.5
Mustard,Kharif,2024-2025,Odisha,Sundargarh,1181.99,16305,24783.6,104.31,1.52
Field Pea,Rabi,2017-2018,Odisha,Kandhamal,1377.0,22861,38635.09,238.99,1.69
Cauliflower,Kharif,2004-2005,Odisha,Jharsuguda,1344.82,20812,31218.0,210.73,1.5
Brinjal (Eggplant),Rabi,2000-2001,Odisha,Nabarangpur,1715.84,16218,27408.42,240.96,1.69
Oranges & Limes,Kharif,2016-2017,Odisha,Kalahandi,1371.98,20455,34364.4,245.27,1.68
Chilli,Rabi,2022-2023,Odisha,Rayagada,1427.75,28431,54587.52,146.45,1.92
Cardamom,Kharif,2020-2021,Odisha,Kalahandi,1464.81,39464,65115.6,163.79,1.65
Coconut,Rabi,2021-2022,Odisha,Jagatsinghapur,1528.04,22037,39666.6,189.8,1.8
Mustard,Kharif,2012-2013,Odisha,Kandhamal,1579.74,15325,23447.25,125.78,1.53
Pumpkin,Rabi,2019-2020,Odisha,Bargarh,1413.78,28734,47411.1,120.74,1.65
Biri (Black Gram),Rabi,2010-2011,Odisha,Subarnapur,1715.96,18288,29443.68,230.14,1.61
Okra (Bhendi),Rabi,2002-2003,Odisha,Nabarangpur,1459.3,15482,25080.84,238.96,1.62
Cauliflower,Rabi,2003-2004,Odisha,Gajapati,1298.74,15855,25050.9,237.45,1.58
Wheat,Kharif,2014-2015,Odisha,Koraput,1428.6,21226,47758.5,98.98,2.25
Mesta,Kharif,2012-2013,Odisha,Deogarh,1225.2,32127,51081.93,226.44,1.59
Sunflower,Kharif,2023-2024,Odisha,Cuttack,1557.33,22105,37136.4,104.12,1.68
Mango,Kharif,2003-2004,Odisha,Deogarh,1291.1,18430,25433.4,166.8,1.38
Rice (Paddy),Rabi,2024-2025,Odisha,Subarnapur,1587.9,169270,636455.2,150.94,3.76
Cauliflower,Rabi,2019-2020,Odisha,Ganjam,1281.29,22855,39996.25,97.39,1.75
Maize,Kharif,2020-2021,Odisha,Bhadrak,1356.94,48807,155694.33,210.12,3.19
Oil Palm,Rabi,2014-2015,Odisha,Nuapada,1364.57,16097,27686.84,163.72,1.72
Cashew,Rabi,2017-2018,Odisha,Dhenkanal,1726.91,14848,27023.36,128.39,1.82
Castor,Kharif,2009-2010,Odisha,Jharsuguda,1505.91,31821,47413.29,161.29,1.49
Tea,Kharif,2022-2023,Odisha,Jagatsinghapur,1611.09,29343,50469.96,134.25,1.72
Cauliflower,Kharif,2005-2006,Odisha,Sundargarh,1403.51,29474,49516.32,209.72,1.68
Niger,Rabi,2024-2025,Odisha,Gajapati,1450.84,15920,29292.8,185.71,1.84
Exotic Vegetables,Kharif,2004-2005,Odisha,Mayurbhanj,1398.95,4142,5757.38,101.35,1.39
Sapota,Kharif,2004-2005,Odisha,Angul,1358.63,4096,6676.48,191.51,1.63
Sugarcane,Rabi,2011-2012,Odisha,Bhadrak,1643.05,10384,848268.96,147.98,81.69
Guava,Kharif,2015-2016,Odisha,Dhenkanal,1341.18,15707,26858.97,138.73,1.71
Gram (Chickpea),Kharif,2005-2006,Odisha,Jajpur,1320.43,12354,17542.68,237.27,1.42
Sugarcane,Kharif,2004-2005,Odisha,Cuttack,1512.46,11097,892975.59,171.79,80.47
Black Pepper,Kharif,2020-2021,Odisha,Ganjam,1363.24,18742,33735.6,210.74,1.8
Cabbage,Rabi,2011-2012,Odisha,Mayurbhanj,1477.92,21146,33410.68,232.43,1.58
Lentil,Rabi,2012-2013,Odisha,Jharsuguda,1547.46,4413,7060.8,215.71,1.6
Garlic,Kharif,2008-2009,Odisha,Deogarh,1358.48,24447,36914.97,179.19,1.51
Black Pepper,Rabi,2010-2011,Odisha,Dhenkanal,1533.42,19248,32721.6,201.34,1.7
Coriander,Kharif,2017-2018,Odisha,Subarnapur,1689.72,2377,3993.36,250.4,1.68
Mung (Green Gram),Rabi,2018-2019,Odisha,Cuttack,1508.7,28678,46745.14,163.57,1.63
Cauliflower,Kharif,2011-2012,Odisha,Sambalpur,1340.68,22544,32914.24,157.91,1.46
Sesamum (Til),Kharif,2020-2021,Odisha,Sundargarh,1523.49,2002,3443.44,136.28,1.72
Mango,Rabi,2016-2017,Odisha,Mayurbhanj,1494.01,13701,21784.59,234.24,1.59
Black Pepper,Rabi,2010-2011,Odisha,Sambalpur,1479.75,23535,35773.2,139.99,1.52
Lentil,Rabi,2003-2004,Odisha,Cuttack,1399.69,24535,35575.75,83.67,1.45
Coffee,Rabi,2011-2012,Odisha,Nayagarh,1505.41,26436,42561.96,114.91,1.61
Ragi (Finger Millet),Rabi,2014-2015,Odisha,Balangir,1154.72,27301,50506.85,212.06,1.85
Sugarcane,Rabi,2019-2020,Odisha,Keonjhar,1347.21,7624,605498.08,140.32,79.42
Chilli,Rabi,2022-2023,Odisha,Dhenkanal,1533.67,15096,28682.4,162.61,1.9
Mustard,Kharif,2019-2020,Odisha,Ganjam,1295.4,17244,31039.2,104.39,1.8
Coriander,Kharif,2024-2025,Odisha,Nuapada,1497.87,8710,16026.4,142.47,1.84
Sapota,Rabi,2007-2008,Odisha,Rayagada,1280.01,29688,50172.72,96.73,1.69
Cabbage,Kharif,2020-2021,Odisha,Puri,1361.8,33297,56937.87,132.69,1.71
Cashew,Rabi,2020-2021,Odisha,Kandhamal,1380.56,12624,20450.88,240.54,1.62
Pineapple,Rabi,2019-2020,Odisha,Kalahandi,1698.73,15092,25354.56,139.8,1.68
Rubber,Rabi,2019-2020,Odisha,Balasore,1426.74,11584,19808.64,145.29,1.71
Tomato,Kharif,2023-2024,Odisha,Sundargarh,1478.02,21756,39813.48,240.14,1.83
Ginger,Kharif,2015-2016,Odisha,Nuapada,1600.05,21491,38253.98,227.98,1.78
Banana,Kharif,2024-2025,Odisha,Angul,1507.08,9619,292032.84,97.48,30.36
Maize,Rabi,2000-2001,Odisha,Kandhamal,1339.29,77028,223381.2,245.05,2.9
Cardamom,Kharif,2009-2010,Odisha,Cuttack,1445.01,39234,59243.34,112.56,1.51
Sapota,Rabi,2003-2004,Odisha,Deogarh,1505.53,18400,31464.0,102.25,1.71
Jowar (Sorghum),Kharif,2012-2013,Odisha,Khordha,1776.19,20038,36469.16,118.53,1.82
Gourds,Kharif,2012-2013,Odisha,Sundargarh,1614.21,26261,45168.92,209.68,1.72
Ginger,Rabi,2014-2015,Odisha,Balasore,1442.13,29713,50214.97,235.29,1.69
Potato,Rabi,2013-2014,Odisha,Bhadrak,1406.7,10907,239190.51,97.11,21.93
Coriander,Kharif,2023-2024,Odisha,Nayagarh,1451.84,15198,31003.92,239.27,2.04
Biri (Black Gram),Kharif,2002-2003,Odisha,Balasore,1405.59,24088,33723.2,151.87,1.4
Tomato,Rabi,2009-2010,Odisha,Nayagarh,1336.04,17629,30321.88,139.77,1.72
Cowpea,Rabi,2016-2017,Odisha,Keonjhar,1443.39,19501,34516.77,230.69,1.77
Sesamum (Til),Rabi,2004-2005,Odisha,Jagatsinghapur,1687.46,21715,33875.4,83.55,1.56
Gram (Chickpea),Kharif,2016-2017,Odisha,Kalahandi,1551.1,18892,34005.6,181.1,1.8
Linseed,Kharif,2016-2017,Odisha,Kandhamal,1620.05,26726,40356.26,127.51,1.51
Jute,Kharif,2008-2009,Odisha,Nayagarh,1216.41,12210,32112.3,202.79,2.63
Cabbage,Kharif,2014-2015,Odisha,Khordha,1517.28,9645,15624.9,155.23,1.62
Rubber,Rabi,2019-2020,Odisha,Mayurbhanj,1472.2,14430,21645.0,228.04,1.5
Sesamum (Til),Kharif,2012-2013,Odisha,Gajapati,1437.46,32816,53818.24,87.11,1.64
Mango,Rabi,2003-2004,Odisha,Deogarh,1652.97,17042,26926.36,197.57,1.58
Turmeric,Kharif,2024-2025,Odisha,Nabarangpur,1305.01,29321,48379.65,163.87,1.65
Pineapple,Kharif,2006-2007,Odisha,Khordha,1427.77,13829,20605.21,246.01,1.49
Potato,Rabi,2023-2024,Odisha,Koraput,1350.98,23980,525881.4,243.55,21.93
Maize,Rabi,2014-2015,Odisha,Nayagarh,1790.23,110862,354758.4,134.65,3.2
Gram (Chickpea),Rabi,2020-2021,Odisha,Deogarh,1304.49,11300,18645.0,194.05,1.65
Cardamom,Kharif,2006-2007,Odisha,Rayagada,1638.1,19372,32351.24,157.34,1.67
Pineapple,Kharif,2005-2006,Odisha,Sundargarh,1287.63,25888,41938.56,137.68,1.62
Cotton,Kharif,2022-2023,Odisha,Gajapati,1448.45,15625,9218.75,124.38,0.59
Banana,Rabi,2000-2001,Odisha,Puri,1404.1,9521,283154.54,83.53,29.74
Niger,Kharif,2011-2012,Odisha,Nayagarh,1472.37,23340,41778.6,254.7,1.79
Rubber,Kharif,2000-2001,Odisha,Sambalpur,1472.23,8959,13169.73,118.35,1.47
Tomato,Kharif,2011-2012,Odisha,Gajapati,1541.5,31721,52974.07,123.56,1.67
Okra (Bhendi),Kharif,2023-2024,Odisha,Rayagada,1392.84,22392,41201.28,221.58,1.84
Ginger,Kharif,2023-2024,Odisha,Dhenkanal,1603.51,20866,42357.98,244.8,2.03
Groundnut,Rabi,2016-2017,Odisha,Deogarh,1484.99,20908,33870.96,179.03,1.62
Mung (Green Gram),Rabi,2015-2016,Odisha,Gajapati,1116.77,17325,31358.25,127.1,1.81
Rubber,Kharif,2019-2020,Odisha,Kandhamal,1600.22,22505,38033.45,100.89,1.69
Chilli,Kharif,2008-2009,Odisha,Koraput,1407.44,24846,40498.98,253.99,1.63
Jute,Kharif,2019-2020,Odisha,Boudh,1337.0,37979,93428.34,119.91,2.46
Tea,Rabi,2012-2013,Odisha,Jajpur,1734.33,24752,36137.92,161.34,1.46
Ginger,Rabi,2022-2023,Odisha,Balasore,1231.99,15034,26309.5,201.42,1.75
Oil Palm,Rabi,2017-2018,Odisha,Sundargarh,1752.08,30241,51712.11,235.87,1.71
Tobacco,Rabi,2024-2025,Odisha,Deogarh,1676.36,33939,67878.0,118.79,2.0
Chilli,Rabi,2024-2025,Odisha,Balangir,1428.92,19291,32408.88,173.75,1.68
Jackfruit,Rabi,2002-2003,Odisha,Bargarh,1554.45,14832,23137.92,173.93,1.56
Mesta,Kharif,2019-2020,Odisha,Subarnapur,1471.54,28940,50066.2,247.83,1.73
Sweet Potato,Rabi,2000-2001,Odisha,Bargarh,1434.8,26744,39848.56,237.01,1.49
Onion,Kharif,2020-2021,Odisha,Jagatsinghapur,1560.54,18345,33754.8,179.51,1.84
Coffee,Kharif,2004-2005,Odisha,Koraput,1275.03,20471,32958.31,176.94,1.61
Groundnut,Rabi,2017-2018,Odisha,Nuapada,1546.63,24528,40961.76,187.99,1.67
Cabbage,Rabi,2010-2011,Odisha,Ganjam,1568.61,18109,30060.94,138.77,1.66
Wheat,Kharif,2001-2002,Odisha,Rayagada,1612.72,15420,31765.2,190.04,2.06
